Rating_id,ArtistPerformanceINT,SoundAndLightingINT,StagePresenceINT,OrganizationINT,OverallImpressionINT,Performance_Performance_id,Visitor_Visitor_id,RatingDate
1,4,4,4,3,3,3,92,2017-08-21
2,4,4,4,4,4,1,92,2017-08-20
3,4,4,4,5,4,4,48,2017-08-23
4,5,5,5,5,5,2,48,2017-08-20
5,1,2,1,1,1,3,47,2017-08-22
6,1,2,2,1,1,2,69,2017-08-27
7,3,4,3,4,3,1,65,2017-08-20
8,2,1,1,3,1,2,65,2017-08-22
9,3,3,3,2,2,3,65,2017-08-26
10,2,1,2,1,1,2,24,2017-08-21
11,3,4,4,3,3,1,24,2017-08-20
12,4,4,5,5,4,3,37,2017-08-25
13,1,1,2,2,1,1,37,2017-08-22
14,4,5,3,5,4,2,37,2017-08-26
15,1,1,1,1,1,3,58,2017-08-20
16,3,2,2,3,2,1,58,2017-08-24
17,1,2,2,2,1,3,25,2017-08-26
18,1,2,1,1,1,2,25,2017-08-20
19,3,2,3,4,3,4,25,2017-08-23
20,2,2,1,1,1,4,117,2017-08-22
21,3,4,2,3,3,3,117,2017-08-20
22,4,5,3,4,4,4,7,2017-08-23
23,3,2,4,3,3,3,7,2017-08-25
24,2,3,1,1,1,2,7,2017-08-26
25,1,1,1,1,1,4,12,2017-08-27
26,2,3,3,3,2,1,12,2017-08-26
27,3,4,3,2,3,2,12,2017-08-27
28,1,1,1,2,1,4,103,2017-08-22
29,2,3,2,1,2,4,18,2017-08-26
30,4,4,3,3,3,2,18,2017-08-21
31,4,3,5,5,4,3,22,2017-08-20
32,3,2,2,3,2,4,22,2017-08-22
33,5,4,4,4,4,2,44,2017-08-23
34,3,4,3,3,3,4,10,2017-08-24
35,1,1,2,1,1,4,81,2017-08-24
36,1,1,1,2,1,1,81,2017-08-22
37,4,4,4,4,4,3,81,2017-08-22
38,1,1,2,2,1,3,148,2017-08-21
39,1,2,1,2,1,4,148,2017-08-20
40,3,3,4,4,3,3,38,2017-08-20
41,1,1,2,1,1,1,38,2017-08-24
42,1,1,1,1,1,4,38,2017-08-23
43,1,1,1,1,1,3,50,2017-08-24
44,3,2,2,2,2,1,50,2017-08-20
45,4,3,5,5,4,2,50,2017-08-23
46,2,3,3,2,2,1,104,2017-08-22
47,4,3,3,4,3,4,104,2017-08-25
48,2,3,2,2,2,3,104,2017-08-26
49,2,1,2,3,2,4,124,2017-08-24
50,1,2,1,1,1,3,124,2017-08-21
51,2,2,1,2,1,1,124,2017-08-25
52,2,3,2,2,2,4,20,2017-08-26
53,2,3,3,2,2,3,20,2017-08-27
54,2,2,2,3,2,1,118,2017-08-24
55,2,3,3,1,2,2,15,2017-08-25
56,1,1,1,1,1,3,115,2017-08-21
57,1,1,1,2,1,1,114,2017-08-27
58,2,1,2,2,1,3,114,2017-08-24
59,3,3,4,4,3,3,33,2017-08-20
60,2,2,3,3,2,1,33,2017-08-25
61,1,1,2,1,1,2,33,2017-08-25
62,2,3,3,3,2,2,13,2017-08-26
63,2,3,3,2,2,3,13,2017-08-26
64,3,4,2,4,3,3,141,2017-08-20
65,3,3,4,2,3,1,141,2017-08-22
66,5,4,5,4,4,2,141,2017-08-21
67,2,2,3,3,2,1,116,2017-08-24
68,5,5,5,4,4,3,116,2017-08-25
69,5,4,4,5,4,1,75,2017-08-22
70,5,4,4,5,4,4,75,2017-08-26
71,3,2,2,2,2,2,75,2017-08-22
72,3,4,3,3,3,3,27,2017-08-27
73,2,2,1,1,1,4,27,2017-08-20
74,1,1,1,1,1,2,27,2017-08-20
75,5,5,4,5,4,1,94,2017-08-25
76,2,1,2,1,1,4,94,2017-08-21
77,1,2,1,1,1,1,125,2017-08-24
78,1,2,2,1,1,3,125,2017-08-22
79,4,5,4,3,4,4,21,2017-08-21
80,2,1,2,2,1,2,21,2017-08-21
81,4,5,5,4,4,1,89,2017-08-26
82,4,3,5,4,4,3,133,2017-08-20
83,5,5,5,5,5,1,133,2017-08-20
84,4,5,3,3,3,4,36,2017-08-26
85,4,5,5,3,4,4,29,2017-08-26
86,4,5,4,5,4,2,29,2017-08-22
87,2,3,1,1,1,4,52,2017-08-24
88,1,1,1,1,1,1,52,2017-08-27
89,5,5,5,5,5,3,52,2017-08-20
90,2,3,3,3,2,2,71,2017-08-21
91,5,5,4,5,4,1,6,2017-08-21
92,2,1,2,1,1,1,68,2017-08-20
93,4,5,5,3,4,2,14,2017-08-22
94,1,1,2,1,1,4,150,2017-08-20
95,5,4,5,5,4,3,31,2017-08-21
96,1,1,2,2,1,1,31,2017-08-23
97,2,2,3,1,2,2,31,2017-08-20
98,4,5,3,3,3,2,53,2017-08-20
99,1,1,1,1,1,3,4,2017-08-22
100,5,5,4,5,4,3,66,2017-08-20
101,4,3,3,3,3,4,66,2017-08-26
102,2,2,3,2,2,1,66,2017-08-27
103,3,3,2,4,3,1,96,2017-08-20
104,5,5,5,5,5,2,96,2017-08-26
105,4,5,4,4,4,4,96,2017-08-27
106,2,2,3,3,2,4,2,2017-08-26
107,3,2,3,3,2,1,2,2017-08-27
108,4,4,4,5,4,3,139,2017-08-24
109,1,2,1,1,1,3,127,2017-08-23
110,5,4,4,4,4,1,127,2017-08-27
111,5,5,5,5,5,2,127,2017-08-25
112,4,4,3,3,3,1,120,2017-08-26
113,2,1,2,3,2,4,120,2017-08-21
114,4,5,4,5,4,2,112,2017-08-20
115,2,2,3,2,2,4,112,2017-08-21
116,1,2,1,1,1,3,112,2017-08-24
117,2,2,3,2,2,4,40,2017-08-23
118,2,3,1,2,2,3,40,2017-08-27
119,2,2,2,2,2,4,143,2017-08-22
120,3,3,4,4,3,3,143,2017-08-23
121,4,4,4,3,3,1,143,2017-08-25
122,3,3,4,3,3,4,144,2017-08-20
123,5,5,5,4,4,2,144,2017-08-22
124,3,2,2,3,2,3,144,2017-08-21
125,5,5,5,4,4,2,105,2017-08-20
126,3,3,3,2,2,1,105,2017-08-20
127,1,1,1,1,1,3,105,2017-08-25
128,5,4,4,5,4,4,100,2017-08-20
129,4,4,5,4,4,1,100,2017-08-23
130,1,1,2,1,1,2,100,2017-08-25
131,1,1,1,1,1,4,136,2017-08-25
132,4,5,5,5,4,1,136,2017-08-23
133,2,2,2,2,2,2,35,2017-08-24
134,2,2,3,2,2,4,35,2017-08-25
135,1,1,1,1,1,4,99,2017-08-25
136,2,1,2,2,1,1,88,2017-08-22
137,1,1,1,1,1,4,88,2017-08-25
138,2,3,2,3,2,3,64,2017-08-21
139,4,4,5,5,4,1,64,2017-08-27
140,1,2,1,2,1,3,57,2017-08-22
141,4,4,3,5,4,4,91,2017-08-23
142,5,5,5,5,5,3,91,2017-08-24
143,3,3,2,4,3,2,91,2017-08-23
144,3,4,3,2,3,2,108,2017-08-20
145,1,1,1,2,1,3,108,2017-08-27
146,1,1,1,2,1,4,83,2017-08-23
147,1,1,2,1,1,2,149,2017-08-21
148,4,5,4,4,4,4,149,2017-08-21
149,3,3,2,3,2,3,149,2017-08-26
150,2,3,2,2,2,2,26,2017-08-20
151,4,4,5,4,4,2,140,2017-08-26
