"Event_id","Date","Festival_Festival_id","Stage_Stage_id"
1,"2017-08-20",1,4
2,"2017-08-21",1,33
3,"2017-08-22",1,38
4,"2017-08-23",1,25
5,"2017-08-24",1,40
6,"2017-08-25",1,4
7,"2018-09-15",2,19
8,"2018-09-16",2,21
9,"2018-09-17",2,39
10,"2018-09-18",2,16
11,"2018-09-19",2,26
12,"2018-09-20",2,27
13,"2019-05-10",3,39
14,"2019-05-11",3,33
15,"2019-05-12",3,27
16,"2019-05-13",3,27
17,"2019-05-14",3,29
18,"2019-05-15",3,20
19,"2020-06-05",4,33
20,"2020-06-06",4,18
21,"2020-06-07",4,24
22,"2020-06-08",4,27
23,"2020-06-09",4,16
24,"2020-06-10",4,17
25,"2021-07-20",5,14
26,"2021-07-21",5,28
27,"2021-07-22",5,34
28,"2021-07-23",5,21
29,"2021-07-24",5,28
30,"2021-07-25",5,26
31,"2022-08-15",6,11
32,"2022-08-16",6,1
33,"2022-08-17",6,6
34,"2022-08-18",6,24
35,"2022-08-19",6,29
36,"2022-08-20",6,24
37,"2023-09-10",7,15
38,"2023-09-11",7,13
39,"2023-09-12",7,20
40,"2023-09-13",7,17
41,"2023-09-14",7,5
42,"2023-09-15",7,27
43,"2024-05-05",8,17
44,"2024-05-06",8,21
45,"2024-05-07",8,16
46,"2024-05-08",8,38
47,"2024-05-09",8,5
48,"2024-05-10",8,6
49,"2025-06-20",9,6
50,"2025-06-21",9,9
51,"2025-06-22",9,40
52,"2025-06-23",9,5
53,"2025-06-24",9,12
54,"2025-06-25",9,37
55,"2026-07-15",10,39
56,"2026-07-16",10,12
57,"2026-07-17",10,9
58,"2026-07-18",10,38
59,"2026-07-19",10,40
60,"2026-07-20",10,29
61,"2027-08-10",11,19
62,"2027-08-11",11,34
63,"2027-08-12",11,6
64,"2027-08-13",11,15
65,"2027-08-14",11,22
66,"2027-08-15",11,40
67,"2028-09-05",12,14
68,"2028-09-06",12,23
69,"2028-09-07",12,23
70,"2028-09-08",12,3
71,"2028-09-09",12,2
72,"2028-09-10",12,11
73,"2029-05-20",13,28
74,"2029-05-21",13,10
75,"2029-05-22",13,31
76,"2029-05-23",13,22
77,"2029-05-24",13,15
78,"2029-05-25",13,39
