"Ticket_id","PurchaseDate","Price","EANCode","IsActive","Event_Event_id","Visitor_Visitor_id","Ticket_type_Type","Payment_method_Method","Seller_id"
1,"2018-08-16",84,"5990691834616",1,1,23,"Early Bird","No Cash",""
2,"2018-09-14",106,"4839306055643",1,1,27,"Regular","No Cash",""
3,"2018-09-14",106,"1076006364406",1,1,136,"Regular","Bank Account",""
4,"2018-09-14",106,"7243708269407",0,1,"","Regular","",""
5,"2018-09-14",106,"7845833736257",1,1,118,"Regular","Credit Card",""
6,"2018-09-14",106,"7504630559122",1,1,20,"Regular","No Cash",""
7,"2018-09-14",106,"8661539548680",1,1,63,"Regular","Bank Account",""
8,"2018-09-14",106,"1945582394492",1,1,126,"Regular","Cash",""
9,"2018-09-14",74,"4832258640814",1,1,75,"Group","Bank Account",""
10,"2018-09-14",106,"8217735791175",1,1,48,"Regular","No Cash",""
11,"2018-09-14",265,"9726122635903",1,1,84,"VIP","Credit Card",""
12,"2018-09-14",106,"1573245758040",1,1,110,"Regular","Bank Account",""
13,"2018-09-14",106,"4458888602656",1,1,41,"Regular","Debit Card",""
14,"2018-09-14",106,"1406077031364",1,1,142,"Regular","Debit Card",""
15,"2018-08-16",84,"8953857401484",0,1,"","Early Bird","",""
16,"2018-09-14",74,"2039161391229",1,1,137,"Group","Cash",""
17,"2018-09-14",106,"7811071602854",1,1,44,"Regular","Cash",""
18,"2018-09-14",106,"8391403684861",1,1,60,"Regular","Bank Account",""
19,"2018-09-14",106,"1094435434402",1,1,21,"Regular","Bank Account",""
20,"2018-09-14",106,"8402815607416",1,1,14,"Regular","Cash",""
21,"2018-09-14",318,"5347660607800",0,1,"","Backstage","",""
22,"2018-09-14",106,"8163713027882",1,1,124,"Regular","Bank Account",""
23,"2018-09-14",106,"1445412858457",1,1,131,"Regular","Cash",""
24,"2018-08-16",84,"7570416642135",1,1,100,"Early Bird","Credit Card",""
25,"2018-09-14",106,"9062634107990",1,1,114,"Regular","Bank Account",""
26,"2018-08-16",84,"1561759290981",1,1,102,"Early Bird","No Cash",""
27,"2018-09-14",106,"6179550608157",1,1,12,"Regular","Credit Card",""
28,"2018-09-14",106,"2728815740421",1,1,16,"Regular","Cash",""
29,"2018-09-14",106,"1969926394542",1,1,74,"Regular","Bank Account",""
30,"2018-09-14",106,"9371613804116",1,1,125,"Regular","Bank Account",""
31,"2018-09-14",74,"1811903672193",1,1,57,"Group","Debit Card",""
32,"2018-09-14",106,"4760151637129",0,1,"","Regular","",""
33,"2018-09-14",106,"2003281942396",1,1,80,"Regular","Cash",""
34,"2018-09-14",106,"8361589854737",1,1,108,"Regular","Debit Card",""
35,"2018-09-14",74,"9494513619736",1,1,122,"Group","No Cash",""
36,"2018-08-16",84,"4833169875417",1,1,26,"Early Bird","Cash",""
37,"2018-09-14",106,"8200811669932",1,1,97,"Regular","Bank Account",""
38,"2018-09-14",106,"9764269127075",1,1,139,"Regular","No Cash",""
39,"2018-09-14",265,"6512010824380",0,1,"","VIP","",""
40,"2018-09-14",106,"3613896204110",0,1,"","Regular","",""
41,"2018-09-14",106,"6036744103078",0,1,"","Regular","",""
42,"2018-09-14",106,"6361837200065",0,1,"","Regular","",""
43,"2018-08-16",84,"1203174604157",1,1,58,"Early Bird","Credit Card",""
44,"2018-09-14",106,"7714072374161",1,1,83,"Regular","Cash",""
45,"2018-09-14",106,"7102629574986",1,1,53,"Regular","Cash",""
46,"2018-09-14",318,"2657422837533",1,1,146,"Backstage","Cash",""
47,"2018-09-14",106,"4444109814117",0,1,"","Regular","",""
48,"2018-08-16",84,"8369767922472",1,1,4,"Early Bird","Cash",""
49,"2018-09-14",106,"9603039075760",1,1,129,"Regular","Debit Card",""
50,"2018-09-14",106,"4319072856740",1,1,91,"Regular","Cash",""
51,"2018-09-14",106,"4503639048465",1,1,130,"Regular","Bank Account",""
52,"2018-08-16",84,"6225570372748",1,1,78,"Early Bird","Bank Account",""
53,"2018-09-14",265,"9493359003308",1,1,145,"VIP","Credit Card",""
54,"2018-08-16",84,"2039648633799",1,1,62,"Early Bird","Cash",""
55,"2018-09-14",106,"2476969064825",0,1,"","Regular","",""
56,"2018-09-14",265,"4219700878692",1,1,73,"VIP","No Cash",""
57,"2018-09-14",106,"9908191631279",1,1,65,"Regular","Credit Card",""
58,"2018-08-16",84,"6242871821611",1,1,15,"Early Bird","No Cash",""
59,"2018-09-14",265,"5845178097232",1,1,93,"VIP","Bank Account",""
60,"2018-09-14",106,"6332848369659",1,1,10,"Regular","Bank Account",""
61,"2018-09-14",106,"2802843039809",1,1,11,"Regular","No Cash",""
62,"2018-09-14",106,"9512626164797",1,1,50,"Regular","Bank Account",""
63,"2018-09-14",106,"4546860019342",0,1,"","Regular","",""
64,"2018-09-14",106,"5210285640884",1,1,35,"Regular","Credit Card",""
65,"2018-09-14",106,"2443720456832",1,1,133,"Regular","Credit Card",""
66,"2018-08-16",84,"3524755880602",1,1,67,"Early Bird","Cash",""
67,"2018-09-14",106,"5545174484171",0,1,"","Regular","",""
68,"2018-09-14",318,"8181175535371",1,1,1,"Backstage","Bank Account",""
69,"2018-09-14",106,"2474062612448",0,1,"","Regular","",""
70,"2018-08-16",84,"3972235493503",1,1,96,"Early Bird","Cash",""
71,"2018-09-14",106,"4021286217050",1,1,31,"Regular","Bank Account",""
72,"2018-08-16",84,"1339648878875",1,1,103,"Early Bird","Cash",""
73,"2018-09-14",106,"2133531275973",1,1,72,"Regular","Debit Card",""
74,"2018-09-14",265,"1184392445933",1,1,116,"VIP","Debit Card",""
75,"2018-09-14",106,"5512004512060",1,1,148,"Regular","Cash",""
76,"2018-09-14",106,"3951918309816",0,1,"","Regular","",""
77,"2018-09-14",106,"5780479581194",1,1,39,"Regular","Bank Account",""
78,"2018-08-16",84,"8805634106941",0,1,"","Early Bird","",""
79,"2018-09-14",106,"2415042006984",1,1,85,"Regular","Debit Card",""
80,"2018-09-14",106,"6941003478609",1,1,18,"Regular","Debit Card",""
81,"2018-09-14",106,"7605066613922",1,1,69,"Regular","Debit Card",""
82,"2018-09-14",106,"6694457014796",1,1,52,"Regular","Debit Card",""
83,"2018-09-14",318,"2598295502733",0,1,"","Backstage","",""
84,"2018-09-14",106,"5582440204667",1,1,120,"Regular","Bank Account",""
85,"2018-09-14",74,"1421188986254",1,1,36,"Group","Credit Card",""
86,"2018-09-14",106,"3840402446200",1,1,77,"Regular","Credit Card",""
87,"2018-09-14",265,"8306125930888",1,1,113,"VIP","No Cash",""
88,"2018-09-14",106,"1614414804600",1,1,24,"Regular","Bank Account",""
89,"2018-09-14",318,"8894563938352",1,1,99,"Backstage","Cash",""
