Festival_id,Year,StartDate,EndDate,Days,Image_Image_id,Location_Location_id
1,2017,2017-08-20,2017-08-25,6,1,8
2,2018,2018-09-15,2018-09-20,6,1,9
3,2019,2019-05-10,2019-05-15,6,1,10
4,2020,2020-06-05,2020-06-10,6,1,11
5,2021,2021-07-20,2021-07-25,6,1,12
6,2022,2022-08-15,2022-08-20,6,1,13
7,2023,2023-09-10,2023-09-15,6,1,14
8,2024,2024-05-05,2024-05-10,6,1,15
9,2025,2025-06-20,2025-06-25,6,1,16
10,2026,2026-07-15,2026-07-20,6,1,17
11,2027,2027-08-10,2027-08-15,6,1,18
12,2028,2028-09-05,2028-09-10,6,1,19
13,2029,2029-05-20,2029-05-25,6,1,20
