Rating_id,ArtistPerformanceINT,SoundAndLightingINT,StagePresenceINT,OrganizationINT,OverallImpressionINT,Performance_Performance_id,Visitor_Visitor_id
1,3,4,1,5,4,2,92
2,4,3,3,4,1,1,48
3,5,3,2,3,3,3,48
4,2,4,2,4,3,2,48
5,3,3,2,4,3,4,47
6,2,2,2,1,2,3,69
10,2,4,3,1,1,2,65
11,2,1,3,3,1,3,65
12,1,2,1,5,4,2,24
13,5,3,1,2,2,4,24
14,4,5,3,5,4,1,37
15,3,3,1,1,4,2,37
16,2,2,4,2,4,4,58
17,3,5,1,1,4,2,25
18,1,1,2,5,4,1,25
19,4,3,4,5,1,1,117
20,1,3,2,5,1,2,117
21,2,3,3,2,5,1,7
22,3,4,2,2,4,3,7
23,3,2,5,5,2,2,7
24,4,2,3,1,4,3,12
28,1,5,5,2,3,1,103
29,2,1,3,3,2,3,103
30,5,5,4,5,5,3,18
31,3,4,3,4,3,3,22
32,3,1,3,2,1,4,22
33,5,4,2,5,3,2,44
34,1,5,1,1,5,3,44
35,2,5,4,2,2,1,10
36,2,4,2,2,3,4,81
38,5,2,2,5,3,2,148
39,5,3,1,5,4,3,148
40,2,4,5,4,1,1,148
41,2,3,1,2,4,3,38
42,3,3,5,1,3,2,38
43,4,4,3,2,4,4,38
46,3,4,3,5,5,1,50
47,4,4,2,4,5,3,50
48,2,4,3,3,3,2,50
49,3,5,4,3,2,4,104
50,5,2,2,4,5,3,104
53,2,5,4,4,5,1,124
54,3,1,4,3,4,2,124
55,2,4,2,2,5,1,20
56,5,5,3,4,5,4,118
57,2,4,1,3,1,2,118
58,4,4,2,2,1,3,15
59,1,2,4,1,2,1,115
60,4,3,3,4,3,4,114
61,2,1,4,3,1,1,33
62,1,1,2,4,2,2,33
63,3,5,2,4,1,3,33
64,4,3,4,5,3,3,13
65,3,3,2,1,2,3,141
66,3,5,4,1,1,1,141
67,5,5,3,2,3,3,116
68,2,3,2,3,3,2,75
69,4,4,4,2,5,1,27
70,4,4,1,1,3,2,27
71,5,5,5,4,3,4,94
72,4,5,2,2,2,1,94
73,4,2,2,5,4,3,125
74,4,3,2,2,4,1,125
75,5,3,4,3,1,2,21
76,3,4,1,2,5,1,21
77,4,4,4,5,5,4,21
78,4,2,4,4,5,4,89
79,4,1,5,3,4,2,133
80,4,1,4,2,2,4,133
81,2,2,4,3,3,1,36
82,4,5,1,3,1,4,36
83,1,5,5,1,5,3,29
84,4,5,1,1,2,1,29
88,1,2,4,2,1,3,52
89,2,5,5,4,5,4,52
90,3,3,2,2,4,2,52
91,3,5,3,3,1,4,71
92,1,5,3,4,1,2,71
93,1,1,3,3,3,3,6
94,2,5,3,3,4,4,6
95,5,4,5,4,4,2,6
97,1,3,5,1,2,2,68
98,4,5,5,1,3,3,68
99,5,5,2,4,2,4,14
100,1,1,5,1,2,2,150
101,2,1,1,3,5,4,150
102,5,1,4,2,3,3,150
103,4,4,3,4,2,3,31
104,4,4,2,3,2,4,31
105,5,2,5,2,3,2,53
106,3,3,2,5,1,2,4
107,4,2,1,2,3,1,4
108,3,2,2,4,5,4,4
109,5,1,4,1,4,3,66
110,4,3,5,4,4,4,66
111,3,1,4,3,3,4,96
112,2,5,1,4,4,2,96
113,3,2,3,4,1,3,96
114,2,4,1,4,4,4,2
115,2,2,2,3,1,3,2
116,4,3,5,2,5,1,139
117,3,5,4,5,1,4,139
118,4,1,5,5,3,2,139
119,4,3,5,2,1,3,127
122,2,4,3,3,1,1,120
123,3,2,1,5,2,3,120
124,2,2,2,2,4,4,120
125,1,4,4,3,3,3,112
126,5,2,3,5,3,4,112
127,3,4,5,5,1,1,40
128,4,5,5,2,4,1,143
129,4,4,5,4,5,2,144
130,2,4,3,3,2,1,144
131,5,3,3,1,1,4,105
132,4,2,5,1,3,1,105
133,5,3,4,5,4,2,100
134,3,5,4,4,5,4,100
135,4,3,4,2,3,3,100
136,4,3,3,1,3,3,136
137,5,5,4,2,3,1,136
140,5,3,3,1,1,4,35
141,4,5,2,4,1,1,35
142,5,5,4,1,2,1,99
143,3,4,5,5,3,2,99
144,1,3,1,2,2,3,99
145,3,3,1,3,1,3,88
146,1,1,3,4,1,1,88
