"Event_Event_id","Staff_Staff_id"
1,36
1,26
1,80
1,96
1,61
1,66
1,31
1,76
1,81
1,50
1,70
1,60
1,2
1,89
1,49
1,62
1,85
1,59
1,99
1,75
1,37
1,87
1,15
1,48
1,43
1,3
1,34
2,21
2,51
2,11
2,40
2,70
2,30
2,46
2,6
2,71
2,26
2,91
2,96
2,80
2,41
2,60
2,36
2,31
2,50
2,25
2,88
2,15
2,28
2,29
2,57
2,58
2,87
2,92
2,89
2,55
2,35
2,22
2,72
2,19
2,45
2,62
2,48
2,23
2,33
2,63
2,13
3,96
3,10
3,30
3,80
3,91
3,60
3,51
3,31
3,36
3,11
3,66
3,18
3,28
3,5
3,58
3,35
3,42
3,25
3,52
3,95
3,77
3,65
3,33
3,3
3,73
4,61
4,31
4,40
4,6
4,86
4,60
4,90
4,26
4,80
4,21
4,51
4,16
4,41
4,91
4,1
4,2
4,69
4,39
4,82
4,62
4,8
4,9
4,55
4,97
4,42
4,79
4,18
4,72
4,87
4,7
4,53
4,84
5,31
5,11
5,36
5,20
5,10
5,70
5,21
5,61
5,16
5,41
5,76
5,51
5,26
5,71
5,66
5,99
5,82
5,15
5,5
5,55
5,45
5,12
5,2
5,8
5,88
5,19
5,92
5,59
5,98
5,39
5,84
5,24
5,93
5,23
6,46
6,60
6,100
6,90
6,26
6,31
6,66
6,36
6,80
6,86
6,6
6,39
6,5
6,49
6,28
6,27
6,55
6,22
6,75
6,29
6,79
6,78
6,94
6,24
7,20
7,90
7,80
7,16
7,1
7,31
7,70
7,26
7,91
7,100
7,41
7,36
7,5
7,62
7,25
7,15
7,65
7,2
7,99
7,28
7,89
7,78
7,57
7,27
7,94
7,24
8,1
8,71
8,50
8,40
8,36
8,21
8,6
8,41
8,11
8,10
8,100
8,15
8,87
8,59
8,2
8,48
8,72
8,28
8,17
8,18
8,85
8,98
8,13
8,83
9,21
9,1
9,56
9,71
9,80
9,70
9,16
9,11
9,86
9,76
9,41
9,50
9,91
9,90
9,36
9,31
9,30
9,10
9,87
9,58
9,12
9,22
9,32
9,59
9,55
9,17
9,77
9,25
9,48
9,95
9,75
9,7
9,8
9,82
9,92
9,9
9,74
9,44
9,54
9,24
10,1
10,36
10,100
10,70
10,91
10,90
10,86
10,56
10,80
10,50
10,51
10,21
10,40
10,29
10,42
10,68
10,49
10,87
10,32
10,47
10,45
10,78
10,75
10,69
10,35
10,27
10,24
10,73
10,34
11,46
11,51
11,16
11,90
11,31
11,81
11,40
11,71
11,91
11,60
11,20
11,26
11,21
